2009-01-02,0
2009-01-05,1
2009-01-08,2
2009-01-11,3
2009-01-14,4
2009-01-17,5
2009-01-20,6
2009-01-23,7
2009-01-26,8
2009-01-29,9
2009-02-01,9.9
2009-02-04,123
2009-02-07,1
2009-02-10,11
2009-02-13,0.55
2009-02-16,12
2009-02-19,3
2009-02-22,9
2011-01-02,0
2011-01-03,0.3
2011-01-05,1
2011-01-08,0.32
2011-01-11,3
2011-01-14,4
2011-01-17,5
2011-01-20,6
2011-01-23,7
2011-01-26,8
2011-01-29,9
2011-02-01,9.9
2011-02-04,123
2011-02-07,1
2011-02-10,11
2011-02-13,0.55
2011-02-16,12
2011-02-19,3
2011-02-22,9
2012-01-11,990
2012-01-12,999
